"sample.name","injection.order","class","batch","group"
"QC11",1,"QC",1,"QC"
"EC6225",2,"Subject",1,"1"
"EC567",3,"Subject",1,"0"
"EC5A1395",4,"Subject",1,"1"
"EC4604",5,"Subject",1,"1"
"EC7542",6,"Subject",1,"1"
"EC7528",7,"Subject",1,"1"
"EC6345",8,"Subject",1,"1"
"EC6108",9,"Subject",1,"1"
"QC12",10,"QC",1,"QC"
"EC34A1771",11,"Subject",1,"1"
"ECA1469",12,"Subject",1,"1"
"EC24A1581",13,"Subject",1,"1"
"ECA558",14,"Subject",1,"0"
"EC6513",15,"Subject",1,"1"
"EC4385",16,"Subject",1,"1"
"EC6305",17,"Subject",1,"1"
"EC6893",18,"Subject",1,"1"
"QC13",19,"QC",1,"QC"
"EC8289",20,"Subject",1,"1"
"ECFA123",21,"Subject",1,"1"
"EC6894",22,"Subject",1,"1"
"EC6659",23,"Subject",1,"1"
"EC3768",24,"Subject",1,"1"
"EC4286",25,"Subject",1,"1"
"EC8457",26,"Subject",1,"1"
"EC4054",27,"Subject",1,"1"
"QC14",28,"QC",1,"QC"
"EC4193",29,"Subject",1,"1"
"EC4483",30,"Subject",1,"1"
"EC7371",31,"Subject",1,"1"
"EC4171",32,"Subject",1,"1"
"EC6614",33,"Subject",1,"1"
"EC6358",34,"Subject",1,"1"
"EC4052",35,"Subject",1,"1"
"EC6731",36,"Subject",1,"1"
"QC15",37,"QC",1,"QC"
"EC4771",38,"Subject",1,"1"
"EC6519",39,"Subject",1,"1"
"ECA1356",40,"Subject",1,"1"
"EC6109",41,"Subject",1,"1"
"EC4086",42,"Subject",1,"1"
"ECFB47",43,"Subject",1,"1"
"EC4600",44,"Subject",1,"1"
"EC4272",45,"Subject",1,"1"
"QC16",46,"QC",1,"QC"
"EC7527",47,"Subject",1,"1"
"EC4338",48,"Subject",1,"1"
"EC47A2049",49,"Subject",1,"1"
"EC4602",50,"Subject",1,"1"
"EC6559",51,"Subject",1,"1"
"EC6304",52,"Subject",1,"1"
"EC4201",53,"Subject",1,"1"
"EC4135",54,"Subject",1,"1"
"QC17",55,"QC",1,"QC"
"EC4105",56,"Subject",1,"1"
"EC6501",57,"Subject",1,"1"
"EC4532",58,"Subject",1,"1"
"EC4235",59,"Subject",1,"1"
"EC3703",60,"Subject",1,"1"
"EC8367",61,"Subject",1,"1"
"EC6356",62,"Subject",1,"1"
"EC3688",63,"Subject",1,"1"
"QC18",64,"QC",1,"QC"
"EC7603",65,"Subject",1,"1"
"EC6562",66,"Subject",1,"1"
"EC6402",67,"Subject",1,"1"
"EC32A1737",68,"Subject",1,"1"
"EC7244",69,"Subject",1,"1"
"EC6634",70,"Subject",1,"1"
"EC8065",71,"Subject",1,"1"
"EC3938",72,"Subject",1,"1"
"QC19",73,"QC",1,"QC"
"EC3687",74,"Subject",1,"1"
"EC4224",75,"Subject",1,"1"
"EC4348",76,"Subject",1,"1"
"EC7154",77,"Subject",1,"1"
"EC4619",78,"Subject",1,"1"
"EC25A1596",79,"Subject",1,"1"
"EC7549",80,"Subject",1,"1"
"EC4220",81,"Subject",1,"1"
"QC20",82,"QC",1,"QC"
"EC6103",83,"Subject",1,"1"
"EC4268",84,"Subject",1,"1"
"EC6808",85,"Subject",1,"1"
"ECA1318",86,"Subject",1,"0"
"EC3944",87,"Subject",1,"1"
"EC3677",88,"Subject",1,"1"
"EC25A1594",89,"Subject",1,"1"
"EC7233",90,"Subject",1,"0"
"QC21",91,"QC",1,"QC"
"EC6202",92,"Subject",1,"1"
"EC4270",93,"Subject",1,"1"
"EC3826",94,"Subject",1,"1"
"EC7599",95,"Subject",1,"1"
"EC6408",96,"Subject",1,"1"
"EC7426",97,"Subject",1,"1"
"EC6A1200",98,"Subject",1,"1"
"ECFB147",99,"Subject",1,"1"
"QC22",100,"QC",1,"QC"
"EC4349",101,"Subject",1,"1"
"EC7415",102,"Subject",1,"1"
"ECFD103",103,"Subject",1,"1"
"EC3972",104,"Subject",1,"1"
"EC6120",105,"Subject",1,"1"
"EC6561",106,"Subject",1,"1"
"EC7522",107,"Subject",1,"1"
"EC7401",108,"Subject",1,"1"
"QC23",109,"QC",1,"QC"
"EC6594",110,"Subject",1,"1"
"EC53A2215",111,"Subject",1,"1"
"EC47A2046",112,"Subject",1,"1"
"EC6557",113,"Subject",1,"1"
"EC6517",114,"Subject",1,"1"
"EC7221",115,"Subject",1,"1"
"EC7560",116,"Subject",1,"1"
"EC4365",117,"Subject",1,"1"
"QC24",118,"QC",1,"QC"
"EC4182",119,"Subject",1,"1"
"EC4455",120,"Subject",1,"1"
"EC17A1458",121,"Subject",1,"1"
"EC4641",122,"Subject",1,"1"
"EC6364",123,"Subject",1,"1"
"EC7460",124,"Subject",1,"1"
"EC6891",125,"Subject",1,"1"
"ECA1467",126,"Subject",1,"0"
"QC25",127,"QC",1,"QC"
"EC4121",128,"Subject",1,"1"
"EC6A1215",129,"Subject",1,"1"
"EC6349",130,"Subject",1,"1"
"EC7447",131,"Subject",1,"1"
"EC4177",132,"Subject",1,"1"
"ECFB131",133,"Subject",1,"1"
"EC26A1605",134,"Subject",1,"1"
"EC6401",135,"Subject",1,"1"
"QC26",136,"QC",1,"QC"
"EC7586",137,"Subject",1,"1"
"EC6591",138,"Subject",1,"1"
"EC30A1671",139,"Subject",1,"1"
"EC4370",140,"Subject",1,"1"
"EC4654",141,"Subject",1,"1"
"EC4374",142,"Subject",1,"1"
"EC4565",143,"Subject",1,"1"
"EC563",144,"Subject",1,"0"
"QC27",145,"QC",1,"QC"
"EC6602",146,"Subject",1,"1"
"EC3751",147,"Subject",1,"1"
"ECFB60",148,"Subject",1,"1"
"EC7631",149,"Subject",1,"1"
"EC4638",150,"Subject",1,"1"
"EC8365",151,"Subject",1,"1"
"EC4149",152,"Subject",1,"1"
"EC4536",153,"Subject",1,"1"
"QC28",154,"QC",1,"QC"
"EC4293",155,"Subject",1,"1"
"ECFB123_1",156,"Subject",1,"1"
"EC6132",157,"Subject",1,"1"
"EC7403",158,"Subject",1,"1"
"EC4302",159,"Subject",1,"1"
"EC6291",160,"Subject",1,"1"
"EC6548",161,"Subject",1,"1"
"EC6461",162,"Subject",1,"1"
"QC29",163,"QC",1,"QC"
"EC6742",164,"Subject",1,"1"
"EC6400",165,"Subject",1,"1"
"EC7597",166,"Subject",1,"1"
"EC6748",167,"Subject",1,"1"
"EC6101",168,"Subject",1,"1"
"ECFB123_2",169,"Subject",1,"1"
"EC4106",170,"Subject",1,"1"
"EC4265",171,"Subject",1,"1"
"QC30",172,"QC",1,"QC"
"EC4136",173,"Subject",1,"1"
"EC4206",174,"Subject",1,"1"
"EC7372",175,"Subject",1,"1"
"EC6208",176,"Subject",1,"1"
"EC4291",177,"Subject",1,"0"
"EC6752",178,"Subject",1,"1"
"EC4482",179,"Subject",1,"1"
"EC7360",180,"Subject",1,"1"
"QC31",181,"QC",1,"QC"
"EC7590",182,"Subject",1,"1"
"EC4781",183,"Subject",1,"1"
"EC7234",184,"Subject",1,"1"
"EC7458",185,"Subject",1,"1"
"EC7438",186,"Subject",1,"1"
"EC6200_1",187,"Subject",1,"1"
"EC6399",188,"Subject",1,"1"
"EC6459",189,"Subject",1,"1"
"QC32",190,"QC",1,"QC"
"EC55A2248",191,"Subject",1,"1"
"EC6902",192,"Subject",1,"1"
"EC6326",193,"Subject",1,"1"
"EC4173",194,"Subject",1,"1"
"ECFA125",195,"Subject",1,"1"
"EC8363",196,"Subject",1,"1"
"ECFC120",197,"Subject",1,"1"
"EC4179",198,"Subject",1,"1"
"QC33",199,"QC",1,"QC"
"EC4493",200,"Subject",1,"1"
"EC7446",201,"Subject",1,"1"
"EC6290",202,"Subject",1,"1"
"EC4382",203,"Subject",1,"1"
"EC6112",204,"Subject",1,"1"
"EC7577",205,"Subject",1,"1"
"EC4160",206,"Subject",1,"1"
"EC7160",207,"Subject",1,"1"
"QC34",208,"QC",1,"QC"
"EC3670",209,"Subject",1,"1"
"EC6299",210,"Subject",1,"1"
"EC8056_1",211,"Subject",1,"0"
"ECFB129",212,"Subject",1,"1"
"EC7536",213,"Subject",1,"1"
"ECFC18",214,"Subject",1,"1"
"EC6746",215,"Subject",1,"1"
"EC7237",216,"Subject",1,"1"
"QC35",217,"QC",1,"QC"
"QC36",218,"QC",2,"QC"
"EC0552",219,"Subject",2,"0"
"ECA111",220,"Subject",2,"0"
"EC7274",221,"Subject",2,"1"
"EC618",222,"Subject",2,"0"
"EC619",223,"Subject",2,"0"
"ECA168",224,"Subject",2,"0"
"ECA225",225,"Subject",2,"0"
"EC6840",226,"Subject",2,"1"
"QC37",227,"QC",2,"QC"
"EC6857",228,"Subject",2,"1"
"EC6926",229,"Subject",2,"1"
"ECA004",230,"Subject",2,"0"
"EC0628_1",231,"Subject",2,"1"
"ECA162",232,"Subject",2,"0"
"EC7135",233,"Subject",2,"1"
"ECA424",234,"Subject",2,"0"
"EC625",235,"Subject",2,"0"
"QC38",236,"QC",2,"QC"
"ECA222",237,"Subject",2,"0"
"EC7514",238,"Subject",2,"1"
"EC8551",239,"Subject",2,"1"
"EC7087",240,"Subject",2,"1"
"ECA220",241,"Subject",2,"0"
"EC6953",242,"Subject",2,"1"
"ECA507",243,"Subject",2,"0"
"ECA201",244,"Subject",2,"0"
"QC39",245,"QC",2,"QC"
"ECA102",246,"Subject",2,"0"
"ECA1088",247,"Subject",2,"1"
"EC0909",248,"Subject",2,"1"
"ECA504",249,"Subject",2,"0"
"EC7064",250,"Subject",2,"1"
"EC656",251,"Subject",2,"0"
"EC7570",252,"Subject",2,"1"
"EC0753",253,"Subject",2,"1"
"QC40",254,"QC",2,"QC"
"ECA137",255,"Subject",2,"0"
"ECA1161",256,"Subject",2,"1"
"EC7490",257,"Subject",2,"1"
"ECA301",258,"Subject",2,"0"
"EC6849",259,"Subject",2,"1"
"ECA100",260,"Subject",2,"0"
"EC6864",261,"Subject",2,"1"
"EC6988",262,"Subject",2,"1"
"QC41",263,"QC",2,"QC"
"EC7031",264,"Subject",2,"1"
"ECA299",265,"Subject",2,"0"
"EC7482",266,"Subject",2,"1"
"EC636",267,"Subject",2,"0"
"EC738",268,"Subject",2,"0"
"EC0890",269,"Subject",2,"1"
"EC7470",270,"Subject",2,"1"
"EC6951",271,"Subject",2,"1"
"QC42",272,"QC",2,"QC"
"EC686",273,"Subject",2,"0"
"EC0356",274,"Subject",2,"0"
"EC7060",275,"Subject",2,"1"
"EC7025",276,"Subject",2,"1"
"ECA195",277,"Subject",2,"0"
"EC687",278,"Subject",2,"0"
"ECA188",279,"Subject",2,"0"
"EC628",280,"Subject",2,"0"
"QC43",281,"QC",2,"QC"
"EC7143",282,"Subject",2,"1"
"EC611",283,"Subject",2,"0"
"EC7354",284,"Subject",2,"1"
"EC7279",285,"Subject",2,"1"
"EC4A1168",286,"Subject",2,"1"
"EC6938",287,"Subject",2,"1"
"EC7084",288,"Subject",2,"1"
"EC7340",289,"Subject",2,"1"
"QC44",290,"QC",2,"QC"
"EC7139",291,"Subject",2,"1"
"EC620",292,"Subject",2,"0"
"EC6812",293,"Subject",2,"1"
"ECA097",294,"Subject",2,"0"
"EC595",295,"Subject",2,"0"
"EC0848",296,"Subject",2,"0"
"EC7511",297,"Subject",2,"1"
"ECA041",298,"Subject",2,"0"
"QC45",299,"QC",2,"QC"
"EC7327",300,"Subject",2,"1"
"EC7179",301,"Subject",2,"1"
"EC298",302,"Subject",2,"1"
"EC6843",303,"Subject",2,"1"
"EC655",304,"Subject",2,"0"
"ECA297",305,"Subject",2,"0"
"ECA176",306,"Subject",2,"0"
"EC632",307,"Subject",2,"0"
"QC46",308,"QC",2,"QC"
"EC0788",309,"Subject",2,"1"
"ECA328",310,"Subject",2,"0"
"ECA287",311,"Subject",2,"0"
"EC237",312,"Subject",2,"0"
"ECA125",313,"Subject",2,"0"
"EC7515",314,"Subject",2,"1"
"ECA038",315,"Subject",2,"0"
"ECA120",316,"Subject",2,"0"
"QC47",317,"QC",2,"QC"
"EC0239",318,"Subject",2,"0"
"ECA1143",319,"Subject",2,"1"
"EC7320",320,"Subject",2,"1"
"ECA217",321,"Subject",2,"0"
"EC7101",322,"Subject",2,"1"
"EC7492",323,"Subject",2,"1"
"ECA239",324,"Subject",2,"1"
"EC7351",325,"Subject",2,"1"
"QC48",326,"QC",2,"QC"
"EC7392",327,"Subject",2,"1"
"EC7276",328,"Subject",2,"1"
"ECA214",329,"Subject",2,"1"
"EC7009",330,"Subject",2,"1"
"EC189",331,"Subject",2,"0"
"ECA408",332,"Subject",2,"1"
"ECA212",333,"Subject",2,"0"
"EC0114",334,"Subject",2,"1"
"QC49",335,"QC",2,"QC"
"ECA126",336,"Subject",2,"0"
"ECA121",337,"Subject",2,"0"
"EC0214",338,"Subject",2,"0"
"ECA286",339,"Subject",2,"0"
"EC7063",340,"Subject",2,"1"
"EC7384",341,"Subject",2,"1"
"EC627_1",342,"Subject",2,"0"
"EC6934",343,"Subject",2,"1"
"QC50",344,"QC",2,"QC"
"EC6907",345,"Subject",2,"1"
"ECFC145",346,"Subject",2,"1"
"EC7454",347,"Subject",2,"1"
"ECA107",348,"Subject",2,"0"
"EC6758",349,"Subject",2,"1"
"EC7355",350,"Subject",2,"1"
"EC6913",351,"Subject",2,"1"
"ECA210",352,"Subject",2,"0"
"QC51",353,"QC",2,"QC"
"EC7285",354,"Subject",2,"1"
"ECA573",355,"Subject",2,"1"
"EC7341",356,"Subject",2,"1"
"ECA327",357,"Subject",2,"0"
"EC7502",358,"Subject",2,"1"
"ECA098",359,"Subject",2,"0"
"ECA197",360,"Subject",2,"0"
"ECA169",361,"Subject",2,"0"
"QC52",362,"QC",2,"QC"
"ECA288",363,"Subject",2,"0"
"EC616",364,"Subject",2,"0"
"ECA642",365,"Subject",2,"0"
"ECA537",366,"Subject",2,"0"
"EC7286",367,"Subject",2,"1"
"ECA290",368,"Subject",2,"0"
"ECA193",369,"Subject",2,"0"
"EC0858",370,"Subject",2,"1"
"QC53",371,"QC",2,"QC"
"ECA405",372,"Subject",2,"0"
"EC6809",373,"Subject",2,"1"
"ECA407",374,"Subject",2,"0"
"ECA167",375,"Subject",2,"0"
"EC6915",376,"Subject",2,"1"
"EC7183",377,"Subject",2,"1"
"EC0364",378,"Subject",2,"0"
"ECA108",379,"Subject",2,"0"
"QC54",380,"QC",2,"QC"
"EC7028",381,"Subject",2,"1"
"EC0466",382,"Subject",2,"1"
"ECA425",383,"Subject",2,"0"
"ECA1070",384,"Subject",2,"1"
"EC7282",385,"Subject",2,"1"
"EC6775",386,"Subject",2,"1"
"EC302",387,"Subject",2,"0"
"EC6850",388,"Subject",2,"1"
"QC55",389,"QC",2,"QC"
"ECA106",390,"Subject",2,"0"
"EC7507",391,"Subject",2,"1"
"EC735",392,"Subject",2,"0"
"EC7070",393,"Subject",2,"1"
"EC623",394,"Subject",2,"0"
"EC7184",395,"Subject",2,"1"
"EC577",396,"Subject",2,"0"
"EC0830",397,"Subject",2,"1"
"QC56",398,"QC",2,"QC"
"EC0576",399,"Subject",2,"0"
"ECA508",400,"Subject",2,"0"
"EC612",401,"Subject",2,"0"
"EC7393",402,"Subject",2,"1"
"EC6993",403,"Subject",2,"1"
"EC633",404,"Subject",2,"0"
"ECA110",405,"Subject",2,"0"
"EC0864",406,"Subject",2,"1"
"QC57",407,"QC",2,"QC"
"ECA574",408,"Subject",2,"0"
"EC6945",409,"Subject",2,"1"
"ECA418",410,"Subject",2,"0"
"EC7383",411,"Subject",2,"1"
"EC653",412,"Subject",2,"0"
"EC7114",413,"Subject",2,"1"
"EC1A1079",414,"Subject",2,"1"
"EC711_1",415,"Subject",2,"0"
"QC58",416,"QC",2,"QC"
"EC0547",417,"Subject",2,"1"
"EC0628_2",418,"Subject",2,"1"
"EC7326",419,"Subject",2,"1"
"EC646",420,"Subject",2,"0"
"EC0681",421,"Subject",2,"1"
"ECA186",422,"Subject",2,"0"
"ECA143",423,"Subject",2,"0"
"EC733",424,"Subject",2,"0"
"QC59",425,"QC",2,"QC"
"ECA103",426,"Subject",2,"0"
"ECA022",427,"Subject",2,"0"
"EC7061",428,"Subject",2,"1"
"ECA1142",429,"Subject",2,"1"
"ECA216",430,"Subject",2,"0"
"ECA024",431,"Subject",2,"0"
"ECA415",432,"Subject",2,"0"
"EC6851",433,"Subject",2,"1"
"QC60",434,"QC",2,"QC"
